,vocab,meaning
752,harry,v.掠夺，袭扰，折磨
753,accolade,n.荣誉，赞扬
754,scruple,n.顾忌，迟疑；v.顾忌
755,illusory,a.虚幻的
756,dapper,a.整洁漂亮的；动作敏捷的
757,ascetic,a.禁欲的；n.苦行者
758,perspicacious,a.独具慧眼的
759,pan,v.严厉批评
760,abjure,v.发誓放弃
761,delineate,v.描画
762,obeisance,n.鞠躬，敬礼
763,harrow,n.耙；v.使痛苦
764,contemplate,v.沉思
765,viscous,a.粘的
766,waffle,n.蛋奶烘饼；v.胡扯，唠叨
767,apt,a.易于…的，恰当的
768,lucrative,a.赚钱的，有利可图的
769,prod,v.刺，捅；激励
770,flounder,v.挣扎；艰苦地移动；n.比目鱼
771,obfuscate,v.使困惑，使迷惑
772,rue,n.后悔，遗憾
773,waft,v.飘浮，飘荡
774,sublime,a.崇高的
775,prudent,a.审慎的，三思而后行的，精明的
776,demoralize,v.使士气低落
777,wilt,v.使…凋谢，枯萎
778,lacerate,v.撕裂；深深伤害
779,solemnity,n.庄严，肃穆
780,hauteur,n.傲慢
781,archetype,n.原型；典型例子
782,elliptical,a.椭圆的；晦涩的；省略的
783,bumptious,a.傲慢的，自夸的
784,pallid,a.苍白的，没血色的
785,solace,n.安慰，慰藉
786,loquacious,a.多嘴的，饶舌的
787,purloin,v.偷窃
788,sacrilege,n.亵渎，冒犯神灵
789,fetter,n./v.(带)脚镣；束缚
790,badger,n.獾；v.纠缠不休
791,taut,a.绷紧的
792,transitory,a.短暂的
793,apprise,v.通知，告诉
794,assuage,v.缓和，减轻
795,schism,n.组织分裂
796,wily,a.狡猾的
797,preempt,v.以先买权取得)；取代
798,surmount,v.克服，战胜
799,imbibe,v.饮；吸入
800,squalid,a.污秽的，肮脏的
801,abstruse,a.难懂的，深奥的
802,chase,v.雕镂；追捕
803,amity,n.(人或国之间的)友好关系
804,padding,n.衬垫，填料
805,sporadic,a.不定时发生的
806,resurgence,n.再起，复活，再现
807,balloon,n.气球；v.快速增加
808,sneer,v.嘲笑，鄙视
809,inveigle,v.诱骗，诱使
810,forestall,v.先发制人，预先阻止
811,disparate,a.迥然不同的
812,generic,a.种类的，类属的
813,partisan,n.党派支持者；党徒
814,shiftless,a.没有决断力的；偷懒的；无能的
815,rapt,a.专心致志的，全神贯注的
816,foment,v.煽动，助长(坏事)
817,elegy,n.哀歌，挽歌 dirge
818,berate,v.严斥，猛烈责骂
819,backhanded,a.间接的；反手击球的
820,uphold,v.维护，支持
821,amenity,n.礼仪；舒适愉快
822,formidable,a.可怕的；困难的
823,sidestep,v.横跨一步以躲避；回避
824,sybarite,n.奢侈逸乐的人
825,check,v.使突然停止，阻止
826,infelicitous,a.不幸的，不妥当的
827,particularize,v.详述，列举
828,reign,n.统治时期；王朝；领域
829,pigment,n.天然色素；干粉颜料
830,austere,a.朴素的
831,gossamer,n.蛛丝；薄纱；a.轻而薄的
832,apocalyptic,a.预示世界末日的；启示的
833,embed,v.牢牢插入，嵌于
834,warp,v./n.翘起，弯曲
835,surrender,v.投降；放弃；归还
836,facilitate,v.使容易，促进
837,lurch,n.突然向前或旁边倒；v.蹒跚而行
838,nascent,a.初生的，萌芽的
839,frail,a.脆弱的；不坚实的
840,considerable,a.相当多的，值得考虑的
841,fester,v.(指伤口)溃烂，化脓
842,disjunctive,a.分离的，相反的
843,ravel,v.纠缠，纠结；拆开，拆散
844,parody,n.模仿性嘲弄文章或表演；拙劣的模仿
845,shrewd,a.判断敏捷的，精明的
846,wane,v.减少，衰微
847,commingle,v.混合；掺和
848,reconstitute,v.再组成；用水泡
849,faze,v.使…狼狈，折磨
850,sanguine,a.乐观的
851,mediocre,a.平庸的，平凡的
852,apropos,"a./adv.适宜的,恰好的；prep.有关"
853,emboss,v.加浮雕花纹于，使凸出
854,immune,a.免疫的；免除的
855,contumacious,a.违抗的，不服从的
856,civility,n.彬彬有礼，斯文
857,servile,a.奴性的，百依百顺的
858,laconic,a.简洁的
859,affirm,v.确认；肯定
860,repugnant,a.令人厌恶的
861,peripatetic,a.巡游的
862,effete,a.无生产力；虚弱的
863,garrulous,a.唠叨的，多话的
864,spartan,a.简朴的；刻苦的
865,amiable,a.和蔼的，亲切的
866,bane,n.祸根
867,vestige,n.痕迹，遗迹
868,maven,n.专家，内行
869,canon,n.经典，真作
870,discern,v.(费劲)识别，看出
871,primp,v.(妇女)刻意打扮
872,untoward,a.不幸的，(坏事)没料到的
873,haven,n.安息所，避难所
874,subliminal,a.潜意识的
875,inception,n.开端，开始；取得学位
876,hymn,n.赞美诗
877,replete,a.饱满的，塞满的
878,variance,n.矛盾；不同
879,minuscule,a.极小的
880,inert,a.惰性的；行动迟钝的
881,malign,v.诽谤，中伤；a.邪恶的
882,gloomy,a.阴暗的；没有希望的；阴郁的
883,contort,v.(使)扭曲(deform)；曲解
884,obliging,a.恳切的，热心助人的
885,didactic,a.教诲的；说教的
886,insurgent,a.叛乱的，起事的；n.叛乱分子
887,stunt,v.阻碍(成长)；n.特技，绝技
888,affluent,a.富裕的，丰富的
889,serried,a.密集的
890,dappled,a.有斑点的，斑驳的
891,depravity,n.堕落，恶习
892,husband,v.妥善而又节约地管理；做…的丈夫
893,fast,n.绝食，斋戒；adv.很快地，紧紧地
894,saturate,v.浸透；使充满
895,rife,a.流行的，普遍的
896,justify,v.证明…是正当的
897,stench,n.臭气，恶臭(stink)
898,arcane,a.神秘的，秘密的
899,measly,a.患麻疹的；小得可怜的
900,wobble,v.动摇；犹豫
901,warmonger,n.好战者，战争贩子
902,indolent,a.懒惰的
903,fallow,n.休耕地；a.(土地)休耕的
904,shrug,v.耸肩(表示怀疑等)
905,fumble,v.摸索，笨拙搜寻；弄乱，搞糟
906,stiff,a.僵直的，呆板的，严厉的
907,supplement,v./n.增补，补充
908,dilatory,a.慢吞吞的，磨蹭的
909,aloof,a.冷淡的，疏远的
910,flinch,v.畏缩，退缩
911,prosecution,n.起诉；实行，经营
912,smarmy,a.虚情假意的
913,evanescent,a.迅速消失的，短暂的
914,industrious,a.勤劳的，勤勉的
915,parry,v.挡开，避开(武器，问题等)
916,forbearance,n.自制，忍耐
917,gratify,v.使高兴，使满足
918,travesty,v./n.歪曲模仿，曲解
919,splice,v.接合，衔接
920,obligatory,a.强制性的，义务的
921,pittance,n.微薄的薪俸，少量的收入
922,exemplary,a.可作楷模的
923,lethargic,a.昏睡的
924,temporal,a.时间的；世俗的
925,shoal,n.浅滩，浅水处；一群(鱼等)；a.水浅的
926,verisimilar,a.好像真实的；可能的
927,suffuse,v.(色彩等)弥漫，染遍
928,captivate,v.迷惑，吸引
929,rend,v.撕裂；猛拉
930,visionary,a.有远见的；幻想的；n.空想家
931,gall,n.胆汁；怨恨
932,vindictive,a.报复性的
933,hasty,a.急急忙忙的
934,inconsequential,a.不重要的，微不足道的
935,retract,v.缩回，收回
936,stingy,a.吝啬的，小气的
937,brisk,a.敏捷轻快的，活泼的
938,dissolute,a.放荡的，无节制的
939,imperative,a.急需的
940,notch,n.V字形刻痕
941,ingratiating,a.讨好的，谄媚的
942,fallible,a.会犯错的，易犯错的
943,repose,n./v.躺着休息，安睡
944,foster,v.培养，鼓励；领养
945,abet,v.教唆，鼓励
946,sap,n.树液；活力；v.消弱，耗尽
947,vex,v./n.恼火
948,jocular,a.滑稽的，诙谐的；嬉戏的
949,amorphous,a.无定形的
950,figment,n.虚构的东西
951,contaminate,v.污染
952,dissemble,v.隐藏，掩饰(感受、意图)
953,chary,a.小心的，审慎的
954,hack,v.乱劈，乱砍；n.雇佣文人
955,avarice,n.贪财，贪婪
956,absolve,v.赦免，免除
957,pastiche,n.混合拼凑的作品
958,remorse,n.懊悔，悔恨
959,pontificate,v.自大武断地做或说
960,inimical,a.敌意的，不友善的
961,dawdle,v.闲荡，虚度
962,hamper,v.妨碍，阻挠；n.有盖提篮
963,incubate,v.孵化
964,vigorous,a.精力旺盛的，健壮的
965,virtuoso,n.演艺精湛的人
966,pacify,v.使安静，抚慰
967,dour,a.严厉的，脸色阴沉的
968,ratiocination,n.推理；推论
969,sunder,v.分裂，分离
970,static,a.静态的，呆板的
971,mirth,n.欢乐，欢笑
972,grandstand,n.大看台；v.哗众取宠
973,profane,v.亵渎，玷污
974,stigma,n.耻辱的标志，污点
975,vacillate,v.游移不定，踌躇
976,resourceful,a.机智的
977,dismantle,v.拆除
978,encomium,n.赞颂，颂辞
979,nadir,n.最低点
980,lustrous,a.有光泽的
981,drawl,v./n.慢吞吞地说话（态度）
982,drab,a.枯黄色的；无聊的
983,descend,v.下来，下降
984,astute,a.机敏的，精明的
985,chaff,v. 开玩笑
986,defuse,v.从(爆破装置)中卸除引信；缓和紧张状态或危急局面
987,coax,v.哄诱，巧言诱哄
988,figurative,a.比喻的，借喻的
989,rapport,n.和睦，意见一致
990,inept,a.无能的；不适当的
991,falsehood,n.谎言
992,coagulate,v.使凝结
993,debris,n.废墟，残骸
994,symbiosis,n.共生(关系)
995,gist,n.要点，要旨
996,solder,v.焊接，焊合
997,rapprochement,n.和好，和睦
998,venom,n.毒液；恶毒，痛恨
999,affinity,n.密切关系；吸引力
1000,adumbrate,v.(对将来事件)预示
1001,ruse,n.骗术，诡计
1002,acquiesce,v.勉强同意，默许
1003,exodus,n.大批离去，成群外出
1004,blur,n.模糊；v.使…模糊
1005,methodical,a.细心的，有条不紊的
1006,pedagogue,n.教师，教育者
1007,callous,a.冷酷无情的，麻木的；结硬块的
1008,incommensurate,a.不成比例的，不相称的
1009,discreet,a.言行谨慎的
1010,convoke,v.召集
1011,intimidate,v.恐吓；胁迫
1012,rancor,n.深仇，怨恨
1013,penitent,a.后悔的，忏悔的
1014,vapid,a.索然无味的
1015,incorrigible,a.积习难改的，不可救药的
1016,disseminate,v.散布，传播
1017,mongrel,n.杂种动物；混血儿
1018,potentiate,v.加强(力量，效果)
1019,exalt,v.(高度)赞扬，歌颂
1020,emollient,n.润肤剂
1021,bootless,a.无益的，无用的
1022,efficacious,a.有效的
1023,gaffe,n.(社交上令人不快的)失言，失态
1024,crestfallen,a.挫败的，失望的
1025,exponent,n.说明者，支持者；指数
1026,placid,a.安静的，平和的
1027,acquisitive,a.渴望得到的，贪婪的
1028,malcontent,a.不满的；n.不满分子，反抗者
1029,outmaneuver,v.以策略制胜
1030,creep,v.匍匐前进；悄悄地移动
1031,glide,v.滑行，滑动
1032,clout,n.用手击打；权力，影响力
1033,connoisseur,n.鉴赏家，行家
1034,elicit,v.引出，探出
1035,maudlin,a.感情脆弱的，爱哭的
1036,animus,n.敌意，憎恨
1037,scowl,n.怒容；v.生气地皱眉，怒视
1038,affix,v.粘上，贴上；在合同上添写某事物；n.词缀
1039,imitation,n.赝品；效法，冒充
1040,salient,a.显著的，突出的
1041,inculpate,v.连累；控告；归咎于
1042,husky,a.声音沙哑的
1043,platitude,n.陈词滥调
1044,mercenary,a.惟利是图的；n.雇佣兵
1045,tirade,n.长篇的攻击性讲话
1046,ration,n.定量配给；v.配给
1047,delicacy,n.细嫩；精致，优雅
1048,ignite,v.发光；点燃，燃烧
1049,premium,n.保险费；奖金
1050,obscure,a.难理解的；不清楚的；v.隐藏；使…模糊
1051,stolid,a.无动于衷的
1052,pliable,a.易弯的，柔软的
1053,quash,v.镇压；取消
1054,august,a.威严的，高贵的
1055,impervious,a.不能渗透的；不为所动的
1056,debut,n.初次登台，初次露面
1057,effrontery,n.厚颜无耻
1058,obdurate,a.固执的，顽固的
1059,iniquity,n.邪恶，不公正
1060,antic,a.古怪的
1061,disinterested,a.公正的，客观的
1062,limber,a.易弯曲的；敏捷的
1063,squat,v.蹲下；a.矮胖的
1064,pinpoint,v.精确地找出或描述；a.非常精确的
1065,belabor,v.过分冗长地做或说；痛打
1066,prostrate,a.俯卧的；沮丧的；v.使下跪鞠躬
1067,nip,v.小口啜饮
1068,refulgent,a.辉煌的，灿烂的
1069,deprecate,v.反对，轻视
1070,complacency,n.自满，满足
1071,querulous,a.抱怨的，多牢骚的
1072,forage,n.饲料 粮草；v.搜寻，翻寻
1073,commotion,n.骚动，动乱
1074,constrain,v.束缚；强迫
1075,appall,v.使惊骇，使恐怖
1076,buoyant,a.有浮力的；轻快的
1077,escalate,v.(战争等)升级；扩大，上升
1078,grit,n.沙粒；决心，勇气；v.下定决心，咬紧牙关
1079,acrimonious,a.尖刻的
1080,crux,n.关键，症结所在
1081,upbraid,v.斥责，责骂
1082,forte,n.长处，擅长；a.(音乐)强音的
1083,amicable,a.友好的
1084,fervid,a.炽热的，热情的
1085,coy,a.腼腆的，忸怩的
1086,atrocious,a.残忍的，凶恶的
1087,evince,v.表明，表示
1088,renege,v.背信，违约
1089,rehabilitate,v.修复，恢复(职业等)
1090,preposterous,a.荒谬的
1091,bromide,n.庸俗的人，陈词滥调
1092,proselytize,v.使…皈依
1093,synthesis,n.综合，合成
1094,intimate,a.亲密的；n.密友；v.暗示
1095,juggernaut,n.摧毁一切的强大力量
1096,gloat,v.幸灾乐祸地看，窃喜
1097,lithe,a.柔软的，易弯曲的；敏捷的，轻快的
1098,stalwart,a.健壮的，坚定的
1099,tamper,v.损害，窜改
1100,probity,n.刚直，正直
1101,salutation,n.招呼，致意，敬礼
1102,runic,a.北欧古代文字的；神秘的
1103,quotidian,a.每日的；平凡的
1104,oblivious,a.遗忘的，疏忽的
1105,cultivate,v.种植；向…讨好
1106,speculate,v.沉思，思索；投机
1107,riot,v.参加暴动
1108,ravenous,a.饿极了的，贪婪的
1109,torpor,n.死气沉沉
1110,candor,n.坦白，率直
1111,detain,v.拘留；使延迟
1112,heinous,a.十恶不赦的
1113,assent,v.同意，赞成
1114,averse,a.不愿的，反对的
1115,carouse,n.畅饮，欢宴
1116,subvert,v.颠覆，推翻
1117,bravado,n.故作勇敢，虚张声势
1118,seamy,a.肮脏的，恶劣的
1119,trespass,v.侵犯，闯入私人领地
1120,impassive,a.无动于衷的，冷漠的
1121,pungent,a.味道刺激的；苛刻的
1122,premeditate,v.预先想过，预谋
1123,exude,v.使慢慢流出；四溢
1124,sere,a.干枯的，凋萎的
1125,aggravate,v.加重，恶化
1126,imprecise,a.不精确的，不严密的
1127,sodden,a.浸透了的
1128,surfeit,n.(食物)过量，过度；v.使过量
1129,parch,v.烘烤；烤焦
1130,combustible,a.易燃的；易激动的
1131,slant,v.倾斜；n.斜面；看法
1132,detour,n.弯路；绕行之路
1133,licentious,a.纵欲的；放肆的
1134,slake,v.解渴，消渴
1135,condone,v.宽恕
1136,panache,n.羽饰；炫耀
1137,steadfast,a.忠实的；不变的
1138,placate,v.抚慰，平息(愤怒)
1139,tackle,v.处理；n.滑车
1140,shun,v.避免，闪避
1141,tinker,n.补锅工人；v.拙劣修补
1142,thwart,v.阻挠，使…受挫
1143,clamor,v./n.喧闹 喧哗
1144,asylum,n.避难所，庇护所
1145,idle,a.(指人)无所事事的；无效的；v.懒散，无所事事
1146,jargon,n.暗语；行话
1147,falter,v.摇晃，蹒跚；支吾地说
1148,pluck,n.在困难面前的勇气；v.弹拉
1149,itinerant,a.巡回的，流动的
1150,loutish,a.粗鲁的
1151,stealth,n.秘密的行动
1152,shroud,n.寿衣；遮蔽物；v.覆盖
1153,reprieve,v.缓刑，暂时解救；n.缓刑，暂时解救
1154,unexceptionable,a.无可非议的
1155,disgorge,v.呕出；(水)流走
1156,piquant,a.辛辣的，开胃的；兴奋的
1157,erudite,a.博学的，饱学的
1158,cast,n.演员阵容；v.投掷 扔；铸造
1159,verdant,a.青葱的，翠绿的
1160,subdue,v.征服；压制；减轻
1161,futile,a.无效的，无用的;（人）没出息的；琐细的
1162,trite,a.陈腐的，陈词滥调的
1163,petition,n.请愿；请愿书
1164,excoriate,v.撕去皮；严厉批评
1165,doldrums,n.赤道无风带；情绪低落
1166,accommodate,v.提供住宿；适应新环境；使和谐
1167,windy,a.有风的；长篇累牍的
1168,affectation,n.做作，装模作样
1169,malevolent,a.有恶意的，恶毒的
1170,misgiving,n.担心，疑虑
1171,rile,v.使…恼火，激怒
1172,indurate,v.使坚硬；使习惯于
1173,patent,a.显而易见的；n.专利权(证书)
1174,fawn,n.未满周岁的小鹿；v.巴结，奉承
1175,arid,a.干旱的；枯燥的
1176,preternatural,a.异常的)；超自然的
1177,disdain,n./v.轻视，鄙视
1178,waddle,v.(鸭子等)摇摇摆摆地走
1179,deadlock,n.相持不下，僵局
1180,vivacious,a.活泼的，快活的
1181,stifle,v.感到窒息；抑止
1182,boggle,v.犹豫，畏缩不前；使退缩
1183,bifurcate,v.分为两支，分叉
1184,browbeat,v.欺侮，恫吓
1185,dwindle,v.变小
1186,tyrant,n.暴君
1187,divert,v.使某事物转向；使娱乐
1188,denude,v.脱去；剥蚀；剥夺
1189,inclement,a.(天气)严酷的；严厉的
1190,advocate,v.拥护，支持，鼓吹；n.支持者，拥护者
1191,magnitude,n.重要；星球的光亮度
1192,porous,a.可渗透的；多孔的
1193,acclaim,v.欢呼，称赞
1194,prerogative,n.特权
1195,debacle,n.解冻；崩溃
1196,inanimate,a.无生命的
1197,wax,n.蜡；v.给…打蜡；盈，增大
1198,mournful,a.悲伤的
1199,endemic,a.地方性的
1200,septic,a.受感染的，腐败的
1201,clot,n.凝块；v.使凝结成块
1202,indoctrinate,v.教导；灌输思想
1203,unpretentious,a.不炫耀的
1204,fallacious,a.欺骗的；谬误的
1205,audacious,a.大胆的；愚勇的
1206,enamored,a.珍爱的，喜爱的
1207,quail,v.畏惧，颤抖
1208,stickler,n.坚持细节之人
1209,caprice,n.化无常，任性
1210,revere,v.尊敬
1211,jaundice,n.偏见
1212,demagogue,n.蛊惑民心的政客
1213,recessive,a.隐性遗传的；后退的
1214,simpleton,n.笨蛋
1215,idyll,n.田园生活；田园诗
1216,exigent,a.需要立即采取行动的
1217,aver,v.极力声明；断言；确证
1218,barren,a.不育的；贫瘠的；不结果实的
1219,cherubic,a.(尤指孩子)天真无邪的
1220,lackluster,a.无光泽的；呆滞的
1221,replenish,v.补充，再装满
1222,prune,n.梅干；v.修剪
1223,gear,n.齿轮；装备；仪器
1224,incogitant,a.无思想的，考虑不周的
1225,glut,v./n.过多；供过于求
1226,redundant,a.累赘的，多余的
1227,rapacious,a.强夺的，贪婪的
1228,attenuate,v.变薄
1229,bruit,v.散布 传播(谣言)
1230,scotch,v.镇压，粉碎
1231,prude,n.过分守礼的人
1232,shipshape,a.整洁的，井然有序的
1233,discretion,n.谨慎，审慎
1234,interdict,v.禁止；切断(补给线)
1235,instill,v.滴注；逐渐灌输
1236,heretical,a.异端邪说的
1237,prognosis,n.预言 (of a disease or an illness)
1238,condemn,v.谴责；判刑
1239,exacting,a.苛求的；要求严格的
1240,corrosive,a.腐蚀性的，腐蚀的，蚀坏的
1241,moratorium,n.停止偿付；禁止活动
1242,strident,a.尖声的，刺耳的
1243,domicile,n.住处，住所
1244,hardy,a.耐寒的；强壮的
1245,atrophy,n.萎缩，衰退
1246,downplay,v.贬低，不予重视
1247,volatile,a.反复无常的；挥发性的
1248,jaded,a.疲惫的；厌倦的；(胶卷)暴光过分的
1249,subject,n.受支配的人，隶属
1250,apostasy,n.叛教，脱党
1251,bridle,n./v.缰绳，控制
1252,jettison,v.(船)向外抛弃东西；n.抛弃的货物
1253,kudos,n.荣誉
1254,veneer,n.(镶于劣质东西上的)镶面板；外表
1255,blight,n.枯萎；v.使枯萎
1256,portentous,a.凶兆的，有危险的
1257,complacent,a.自满的，得意的
1258,meek,a.温顺的，顺服的
1259,alacrity,n.乐意，欣然；轻快
1260,blunder,v／n.犯大错；笨拙地做
1261,boycott,v.联合抵制(贸易)
1262,periodical,n.期刊
1263,onerous,a.繁重的，麻烦的
1264,vindicate,v.为…平反；证明…正确
1265,manifest,a.显然的
1266,burgeon,v.萌芽，迅速增长
1267,subsidiary,a.辅助的；次要的
1268,retouch,v.修描；润色
1269,genial,a.愉快的，脾气好的
1270,hyperbole,n.夸张法；a.夸张的
1271,bristle,n.刚毛；v.(毛)竖起；发怒
1272,ponderable,a.可估量的
1273,palliate,v.减轻(痛苦)；掩饰(罪行)
1274,sterile,a.贫瘠且无植被的；不孕的；无细菌的
1275,proficient,a.熟练的，精通的
1276,disparage,v.贬抑，轻蔑
1277,lag,v.落后，滞留
1278,repertoire,n.(剧团等)常备剧目
1279,dally,v.闲荡，嬉戏
1280,extol,v.赞美
1281,lopsided,a.倾向一方的，不平衡的
1282,lapse,n.失误；(时间等)流逝
1283,veracious,a.诚实的，说真话的
1284,rabid,a.患狂犬病的；失去理性的
1285,medley,n.混合歌曲；混杂；各种各样的集团
1286,faction,n.派系；派系斗争
1287,pandemic,a.(病)大范围流行的
1288,euphemism,n.婉言，委婉的说法
1289,reiterate,v.重申，反复地说
1290,pique,n./v.(因自尊心受伤害而导致的)不悦，愤怒；v.冒犯
1291,ancillary,a.辅助的；n.助手
1292,abstain,v.放弃，戒掉
1293,ironclad,a.装铁甲的；坚固的
1294,indelible,a.擦拭不掉的，不可磨灭的
1295,posit,v.断定，认为
1296,voluminous,a.长篇的；多产的
1297,certitude,n.确定无疑
1298,equivocate,v.模棱两可地说，支吾其词，说谎
1299,subtle,a.微妙的，精巧的
1300,quiescent,a.不动的，静止的
1301,tantamount,a.与…相等的
1302,concede,v.承认(为正确)；让步
1303,devious,a.不正直的；弯曲的
1304,sumptuous,a.豪华的，奢侈的
1305,founder,v.(船)沉没；(计划)失败
1306,redoubtable,a.可敬畏的
1307,accentuate,v.重读；强调
1308,supine,a.仰卧的；懒散的
1309,abrade,v.磨损，磨小
1310,divulge,v.泄露，透露
1311,buoy,n.浮标，救生圈；v.支持，鼓励
1312,demur,v.表示异议，反对
1313,smug,a.自满的，自命不凡的
1314,procrastinate,v.耽搁，拖延
1315,pry,v.刺探；撬开
1316,contagious,a.传染的，有感染力的
1317,mendacious,a.不真的；撒谎的
1318,wary,a.谨慎的，小心翼翼的
1319,garish,a.俗丽的，过于艳丽的
1320,unimpeachable,a.无可指摘的，无可置疑的
1321,stodgy,a.乏味的
1322,avant-garde,n.(艺术)先锋派
1323,assail,v.抨击；猛攻
1324,glaze,v.装玻璃于；上釉彩；n.釉
1325,heresy,n.异端邪说
1326,dilute,v.把(液体)弄稀，弄淡
1327,hedge,n.树篱；限制
1328,excursive,a.离题的，随意的
1329,eschew,v.避开，戒绝
1330,dolt,n.傻瓜
1331,therapeutic,a.治病的
1332,recuperate,v.恢复(健康)，复原
1333,jejune,a.空洞的；不成熟的
1334,deportation,n.驱逐出境
1335,malaise,n.不适，不舒服
1336,minatory,a.威胁的，恫吓的
1337,trenchant,a.一针见血的
1338,chimera,n.神话怪物；幻想，空想
1339,intermittent,a.断断续续的，间歇的
1340,mumble,v.咕哝，含糊不清地说
1341,hilarious,a.充满欢乐的；引起大笑的
1342,conservatory,n.温室；音乐学院
1343,prodigal,a.挥霍的；n.挥霍者
1344,importune,v.强求，不断请求
1345,hew,v.砍伐；遵守
1346,draconian,a.严厉的，严酷的
1347,opportune,a.合适的，适当的
1348,alienate,v.疏远，离间某人
1349,solitude,n.孤独
1350,extinct,a.绝种的，不存在的
1351,retard,v.妨碍；减速
1352,serene,a.清澈的，晴朗的，安静的
1353,unctuous,a.油质的；油腔滑调的
1354,fastidious,a.难取悦的，挑剔的
1355,slumber,v.睡眠，安睡；n.安睡
1356,panegyric,n.颂词，颂扬
1357,autocracy,n.独裁政府
1358,lampoon,n.讽刺文章；v.讽刺
1359,stygian,a.阴暗的，阴森森的
1360,tangy,a.强烈的，扑鼻的
1361,reflect,v.反射；仔细考虑
1362,scurvy,a.卑鄙的，可鄙的
1363,exorcise,v.驱魔；去除(坏念头等)
1364,asunder,"a./adv.分离的,碎片的"
1365,profligate,a.挥金如土的；n.挥霍者
1366,persiflage,n.挖苦，嘲弄
1367,sophism,n.诡辩；诡辩法(术)
1368,jarring,a.声音刺耳的
1369,galvanize,v.电镀；通电；激励
1370,dictate,v.口述；命令
1371,breach,n.裂缝 缺口；v.打破 裂开；违背
1372,disregard,v./n.疏忽，漠视
1373,sloth,n.懒惰；树獭(一种动物)
1374,enunciate,v.发音；(清楚地)表达
1375,dandy,n.花花公子，好打扮的人
1376,quota,n.定额，配额
1377,protocol,n.外交礼节；协议，草案
1378,contrite,a.悔罪的，痛悔的
1379,strand,n.绳线的一股；v.搁浅
1380,conviction,n.判罪；坚信
1381,enact,v.制定(法律)；扮演(角色)
1382,consummate,a.完善的，圆满的
1383,content,a.心满意足的；n.内容；满意
1384,libertine,n.性行为放纵者，浪荡的人
1385,pithy,a.(讲话或文章)简练的
1386,desiccate,v.(使)完全干涸，脱水
1387,circumlocution,n.迂回累赘的陈述
1388,frothy,a.起泡的；空洞的
1389,succumb,v.屈从；因…死亡
1390,prowl,v.潜行于，偷偷地漫游
1391,exquisite,a.精致的；近乎完美的
1392,virulent,a.剧毒的；恶毒的
1393,untold,a.无数的，数不清的
1394,adventitious,a.偶然的
1395,homage,n.效忠，崇敬
1396,stonewall,v.拖延议事，设置障碍
1397,attest,(to)v.证明
1398,provincial,a.偏狭的，粗俗的
1399,sedentary,a.久坐的
1400,daunt,v.使胆怯，使畏缩
1401,jovial,a.愉快的
1402,gauge,n.标准规格；测量仪；v.测量
1403,caveat,n.警告，告诫
1404,abominate,v.痛恨；厌恶 abhor
1405,badinage,n.开玩笑，打趣
1406,adulterate,v.掺假
1407,malleable,a.可塑的，易改变的
1408,voluptuous,a.撩人的；沉溺于酒色的
1409,sordid,a.卑鄙的；肮脏的
1410,protract,v.延长，拖长
1411,incriminate,v.连累，牵连
1412,intrigue,v.密谋；引起…极大兴趣
1413,wit,n.智力，机智
1414,rectitude,n.诚实，正直
1415,scuff,v.拖着脚走
1416,enervate,v.使虚弱，使无力
1417,acme,n.顶点，极点
1418,meteoric,a.流星的；昙花一现的
1419,phenomenal,a.显著的，非凡的
1420,frenzy,n.极度激动的状态，狂暴
1421,clement,a.仁慈的；温和的
1422,labyrinth,n.迷宫
1423,broach,v.开启 开瓶；提出(讨论)
1424,camouflage,n./v.伪装 掩饰
1425,counterpart,n.相对应或具有相同功能的人或物
1426,odium,n.憎恶，反感
1427,entail,v.需要，需求，必须
1428,fracas,n.喧嚷，吵闹
1429,engross,v.全神贯注于
1430,inexorable,a.不为所动的；坚决不变的
1431,crutch,n.拐杖；v.支撑
1432,stringent,a.(规定)严格的，苛刻的；缺钱的
1433,rail,n.栏杆；铁轨；v.咒骂，猛烈指责
1434,impecunious,a.不名一文的，贫困的
1435,coop,n.(鸡)笼，栏
1436,prate,v.瞎扯，胡说
1437,treacherous,a.背叛的，叛逆的，奸诈的
1438,diurnal,a.白昼的，白天的
1439,oblique,a.间接的；斜的
1440,ludicrous,a.荒唐可笑的
1441,precocious,a.早熟的
1442,assertive,a.过分自信的；有进取心的
1443,victimize,v.使受害，迫害
1444,scrap,n.小片，碎屑；v.废弃
1445,typo,n.排印错误
1446,painstaking,a.煞费苦心的
1447,confine,v.限制，禁闭
1448,gaudy,a.俗丽的
1449,autonomy,n.自治，独立
1450,plateau,n.高原；平稳的状态
1451,weather,v.经受住，平安度过危难
1452,ominous,a.预兆的，不祥的
1453,categorical,a.绝对的；分类的
1454,overture,n.前奏曲，序曲
1455,nibble,v.一点点地咬，慢慢啃
1456,ennui,n.倦怠，无聊；v.使无聊
1457,coltish,a.轻佻的；不受拘束的，放荡不羁的
1458,uncanny,a.神秘的，不可思议的
1459,tilt,v.(使)倾斜；n.倾斜，斜坡
1460,mordant,a.讥讽的，尖酸的
1461,distend,v.(使)膨胀，胀大
1462,quarantine,n.隔离检疫期，隔离
1463,bombast,n.高调，夸大的言辞
1464,execrate,v.憎恶；咒骂
1465,luminary,n.杰出人物，名人
1466,dearth,n.缺乏，短缺
1467,lurk,v.潜伏，埋伏
1468,mash,v.捣成糊状
