,vocab,meaning
4573,jurisdiction,n 裁判权，司法权，管辖权，管辖范围，权限
4574,subsist,v 生存；活下去，维持生命，维持生活
4575,modulate,v 调节，调整；缓和，减轻
4576,transit,n 运输；通路；转变，变迁
4577,warp,n&v （使）卷曲，翘曲，弯曲
4578,diverse,a 不同的；形形色色的，多种多样的
4579,discard,v 放弃，抛弃
4580,emerge,v 出现；发生
4581,raw,a 未加工的，粗的
4582,frigid,a 寒冷的
4583,nickname,n 诨名，绰号；略称，爱称
4584,species,n （[sing]，[pl]）种类；[生]（物）种
4585,chamber,n 穴，腔；室；箱
4586,snake,v 扭弯；扭转；迂回前进
4587,narration,n 叙述；故事
4588,retain,v 保留；保持
4589,temporarily,ad 一时地，暂时地，临时地
4590,spur,1 n 踢马刺，靴刺2 v 刺激，推动，鞭策，鼓舞
4591,vigorous,a 精力旺盛的，强健的
4592,designate,v 指出，指明
4593,frequent,a 屡次的，常见的；频繁的
4594,surgeon,n 外科医生；[军]军医；船医
4595,plank,n 板，厚板
4596,chord,1 n 腱，带2 n （琴）弦；（心）弦
4597,peculiar,a 独特的，特有的（to）；特别的，特异的，罕见的，奇怪的
4598,orbit,1 n 轨道  v 沿轨道运行2 n 势力范围；（人生的）旅程，生活过程
4599,obvious,a 明显的，明白的；显而易见的
4600,induce,v 引导，导致
4601,fiber,n 纤维，纤维质
4602,organic,a 器官的；有机体的；有机的（[opp]inorganic）
4603,permanent,a 永久的，不变的
4604,instruct,v 教，指示
4605,volt,n [电]伏（特）
4606,solidify,v 使凝固，固化；使结晶（[opp]dissolve）
4607,limb,1 n 肢，手足；翼，翅膀2 n 大树枝
4608,thresh,n&v 脱粒；打谷
4609,sponsor,v 资助
4610,noxious,a 有害的，有毒的
4611,numerical,a 数字的；数值的；用数字表示的
4612,spoil,v 损坏，弄坏，糟蹋；变坏，腐败
4613,obstacle,n 障碍（物），妨害，阻碍，干扰
4614,personality,n 个性，[心理学]性格；人格，品格，做人，为人；容貌
4615,imagine,v 想象，猜想，推测
4616,ditch,n 水沟，渠
4617,encounter,n 遇见，碰见  v 邂逅（友人等）
4618,veteran,n 复员军人，退役军人
4619,analyze,v 分析
4620,determine,v 决心，决意；测定
4621,eclipse,n （日、月）食  v 使失色；超越，盖过
4622,status,n 情形，状况，状态；地位；资格
4623,fiction,n 小说；编造，想象，虚构
4624,stamp,1 n 邮票，印花（税）2 v 印刷，压印
4625,hazard,n 碰巧，机会；偶然的事，孤注一掷，冒险
4626,canopy,n （树）冠；冠层
4627,accomplish,v 成就，完成；贯彻（计划等）；达到（目的）；实行
4628,distinct,a 独特的；清楚的，明显的；明确的；显著的
4629,avant-garde,a&n 先锋（的），先驱（的）
4630,proper,a 适当的，相当的；正当的
4631,chorus,n 合唱；合唱队；合唱歌（曲）
4632,lavish,a 过分大方的；过于丰富的，过度的，浪费的
4633,unique,a 独特的；惟一的
4634,sediment,n 沉淀物
4635,sponge,n 海绵；海绵动物；海绵状的东西
4636,bison,n （[pl]bison）[动]（欧洲种和美洲种）野牛
4637,gallon,n 加仑
4638,elusive,a 无从捉摸的，难懂的；容易忘记的
4639,condor,n 秃鹰
4640,elaborate,1 v 精心制作；详尽阐述2 a 精巧的，精细的，精益求精的；详尽的
4641,payment,n 支付；缴纳，报偿；补偿
4642,thoroughly,ad 彻底地，全面地
4643,evenly,a 一致的；均匀的
4644,flap,1 n （鸟、昆虫）翼；（鱼）鳃盖；（狗等）下垂的长耳；（菌类）张开的伞2 v 拍动
4645,mammalian,a&n 哺乳动物（的）
4646,curtain,n 帘幕；窗帘，帘子
4647,lean,v （使）倾斜
4648,bulb,1 n 球根；鳞茎，球状物2 n 灯泡
4649,blow,1 v （blew，blown）（风）吹；（汽笛等）叫，鸣2 v （blew，blown）（轮胎等）爆炸；[电]（熔丝等）熔断，熔化
4650,rotate,1 v 旋转；轮转；循环；自转；使旋转（轮转）；使循环2 v 轮流，交替，轮换
4651,quartz,n 石英，水晶
4652,anonymous,a 匿名的；无名的
4653,pearl,n 珍珠；珍品，[pl]珍珠项链
4654,acronym,n 首字母缩略词
4655,maximum,a&n 极点（的），最高额（的），最大值（的）；最高点（的）
4656,steam,n 蒸汽，水蒸气，水气，雾，蒸汽压力
4657,inject,v 注入，注射
4658,bite,v 咬，叮，蛰；紧咬  n 一小口（食物），少量（食物）
4659,ignore,v 忽视，不理，不顾；抹煞（建议）
4660,constitution,n 宪法；政体
4661,representation,1 n 表示，表现，描画，描述2 n 代理，代表3 n 上演，演出；扮演
4662,squeak,v 叽叽地叫  n 叽叽声
4663,quantity,n 量；分量，数量；额；值，参量
4664,renaissance,n 复兴；新生；文艺复兴（期）
4665,jewel,n 宝石，宝玉，宝石饰物
4666,reverse,n&v 颠倒，倒转，倒退；逆转
4667,slide,v 滑；滑动
4668,meticulously,ad 小心翼翼地，细致地
4669,spawn,1 v （使）产卵，大量生育  n （鱼等的）卵，子2 v 引起，酿成
4670,tomato,n 番茄，西红柿
4671,metabolism,n 新陈代谢，代谢作用
4672,suit,1 v 适合；相配2 n 申诉，起诉，诉讼；控告；讼案
4673,presumably,ad 推测起来；假定；大概，大抵，可能
4674,nationwide,a 全国性的  ad 全国性地（[opp]local）
4675,maritime,a 海的，海上的
4676,spin,n&v （使）旋转；自旋，自转
4677,decorate,v 修饰，装饰，布置
4678,official,1 a 官方的，正式的2 n 官员，高级职员
4679,rhetoric,n 修辞学；辩论法
4680,crater,n 火山口；（月球上的）环形山；（炸成的）弹坑；陨石坑
4681,drift,v 使漂流；漂移
4682,sloth,n [动]树懒
4683,comedy,n 喜剧
4684,locality,n 地点，位置，场所，方向；地区；（植物的）产地；环境
4685,outermost,a 最外面的，最远的（普通级：outer）
4686,plaster,n 灰泥，石膏
4687,limestone,n 石灰石
4688,thrust,n 推挤；推力，侧向压力
4689,detect,v 发觉，发现；检定
4690,revise,v 修订，校订；修正，改变（意见等）
4691,equip,v 配备，装备
4692,melancholy,n 忧郁；忧郁病  a 令人伤感的；意气消沉的
4693,admit,1 v 承认，容许2 v 收容，容纳
4694,terrain,n 地形，地势
4695,term,n 词语；术语，专门名词
4696,carpenter,n 木匠，木工（尤指粗木工）
4697,impose,v 征收（税等），使……负担
4698,hollow,a 空的，中空的，空虚的，不诚实的
4699,stir,v 搅动，搅拌；使混淆
4700,hexagon,n 六角形，六边形
4701,fabric,1 n 结构2 n 编织品，织物；纤维品
4702,delta,n （河流的）三角洲；三角形物
4703,extraordinary,a 非凡的，卓绝的
4704,sweep,n 扫除，打扫  v 扫过，擦过，掠过；吹去，刮去
4705,latter,a 后面的，未了的（[opp]first）；（二者中）后者的（[opp]former）
4706,resist,v 抵抗，反对，忍耐（艰苦等）；抵制（疾病等）
4707,pursue,v 追，追赶，追踪；纠缠
4708,harden,v 使坚固，使变硬
4709,boundary,n 边界，疆界，限界
4710,dim,a 微暗的，朦胧的  v （使）暗淡；（使）朦胧，（使）模糊
4711,sanitation,n 公共卫生，卫生设备，下水道设备
4712,tract,1 n 广阔的地面；（一大段）土地（森林），地带；广阔海面（天空）2 n （政治、宗教的）短论；小册子；传单
4713,occurrence,n （事件的）发生，出现
4714,contemporary,a&n 同时代的（人）；现代的（人）
4715,seal,1 n 海豹2 n&v 关闭；密闭；密封；隔离
4716,quarter,n 寓所，住处
4717,photosynthesis,n 光合作用；光能合成
4718,flood,n 洪水，水灾；大量，一大阵，滔滔不绝
4719,entry,n 入口；门口；登录
4720,squarely,ad 规规矩矩地；公证地；断然地（[opp]indirectly）
4721,limner,n 画师，花匠，描述者
4722,cellulose,n 细胞膜质，纤维质；纤维素
4723,potash,n 碳酸钾
4724,revolutionary,a 革命的，大变革的，革命性的
4725,chapel,n （常附属于大教堂的）小教堂
4726,team,n 队，团；工作队，工作组
4727,opera,n 歌剧；[口]歌剧院
4728,preservation,n 保存；储藏；防腐
4729,boulder,n 圆石，卵石；冰砾
4730,potter,n 陶工；[英方]陶器小贩
4731,cluster,n （一大）丛，群，片  v （使）成群；（使）群集
4732,yield,v 生出，产生（作物、报酬、利益等）
4733,raven,n 大乌鸦
4734,withdraw,1 v （withdrew；withdrawn）撤销；取消2 v 回收（通货等）；提取（存款）
4735,manifestation,n 表现，表示；显现
4736,extend,v 扩充，扩大，扩展；发挥（力量）；延续
4737,barrel,n 桶，装满的桶，桶装
4738,infant,a&n 婴儿（的），幼儿（的）
4739,legal,a 法律（上）的；法定的，合法的，正当的
4740,symptom,n 症状，征候；征兆
4741,specify,v 指定；具体说明，详细说明
4742,article,n 物品；制品
4743,mammoth,1 n 猛犸（象）（古生代的巨象）2 a&n 巨物（的），庞然大物（的）；巨大（的）
4744,toad,n 蟾蜍，癞蛤蟆
4745,abroad,1 ad 到国外，在海外2 n 国外，海外
4746,alligator,n 短吻鳄，鳄（鱼）
4747,plateau,n 高原，台地，高地
4748,repel,v 排斥，拒绝
4749,seemingly,ad 表面上地
4750,plummet,v 笔直掉下；骤然跌落
4751,bipedal,a 两足动物的；两足的
4752,margin,n 边缘；边缘部分；范围，限界
4753,acclaim,n 喝彩，欢呼
4754,hardware,n 五金器具；金属制品，零件，部件；硬件
4755,proportion,n 比，比率；[数]比例
4756,simultaneous,a 同时发生的，同时做的，同时的
4757,shallow,a （水、器物等）浅的；薄的（[opp]deep）
4758,novelty,n 新奇，奇异；新奇的东西（事情）
4759,battle,n 战，战斗（行动），交战
4760,abstract,a&n 抽象（的）
4761,cohesive,a 凝聚性的；有结合力的
4762,feasible,a 可实行的，行得通的
4763,survey,n&v 检查，调查，测量（土地），勘查，俯视；概论
4764,mature,a 成熟的；仔细考虑过的  v 成熟；使成熟
4765,ideology,n 意识形态，思想方式
4766,wonder,1 a 非凡的，奇妙的2 v （对……）觉得奇怪
4767,recording,n 唱片；录了音的磁带
4768,expertise,n 专门技能，专门知识
4769,minuscule,a 极小的，微小的，细微的
4770,warrant,1 v 证明……具有充分根据2 n 正常理由；根据
4771,convert,v 转换，转化
4772,regenerate,v 使再生，使复生，使新生
4773,multiple,1 a 多重的；复合的，复式的，多数的，多样的2 n [数]倍数
4774,transformation,n 转变，变形；（尤指昆虫的）转化、变态；改造，改革
4775,dumb,a 哑的，不能说话的
4776,backbone,n 脊骨，脊椎；骨干，主力
4777,converse,1 v 谈话2 a 倒转的，逆（转）的  n 逆转
4778,chill,a&n 寒冷（的）  v 使冷，变冷
4779,fur,n 毛皮；[pl]兽皮，皮货
4780,understand,v 听说，获悉
4781,hammer,n 铁锤
4782,harness,1 n 马具，挽具2 vt 利用自然力使产生动力
4783,dinosaur,n 恐龙
4784,tranquil,a 平静的；安静的，镇静的；稳定的
4785,respond,v 回答；响应（to）；（对刺激等）感应，反应
4786,swallow,1 v 吞，咽2 v 淹没（up）
4787,Antarctica,n 南极洲
4788,hallmark,n 标志，特点
4789,protection,n 保护，保卫，防御，掩护，包庇
4790,blast,v 使爆炸，爆破，炸掉；摧毁
4791,output,n 产量；生产，出产，产品；输出量，输出
4792,outweigh,v 比……重；比……重要；胜过，强过
4793,avid,a 渴望的；贪婪的
4794,nuclear,a 核的，核心的；原子能的；核动力的
4795,inspect,v 询问，查问
4796,dogged,a 顽固的，固执的
4797,partially,ad 部分地
4798,homogeneous,a 同种的，同质的，纯一的，均匀的
4799,cathedral,n 大教堂
4800,promise,n 允许，诺言；约束，（前途有）希望；（有）指望
4801,vary,v 使变化，使多样化
4802,scurry,v 快步急跑；疾走
4803,peripheral,a 周围的，外围的；（神经）末梢区域的
4804,curious,a 稀奇的，古怪的；好奇的
4805,district,n 区；管区；行政区
4806,hallway,n 门厅，过道
4807,satire,n 讽刺诗（文）；讽刺作品；讽刺
4808,energetic,a 精力旺盛的，强健的
4809,storm,n 风暴，风潮，骚动，动乱
4810,levy,v 征收；索取；征集，征用
4811,career,n 职业；前途
4812,twist,1 v 扭转；转身；扭伤2 v 缠上，卷住；盘绕
4813,crow,n 鸦（包含raven，rook，jackdaw，chough）
4814,yearn,v 想念，怀念，向往
4815,trolley,n 手推车；（有轨）电车
4816,pulse,n 脉搏；有节奏的跳动，拍子，节拍
4817,classify,v 把……分类
4818,compose,1 v 组成，构成（be composed of）2 v 创作（诗歌，乐曲等）
4819,rainfall,n 下雨，降雨量
4820,microbe,n 微生物；（尤指引起疾病的）细菌
4821,accompany,v 陪伴；伴奏
4822,motivation,n 动机；动机因素；动力
4823,fountain,n 喷泉；人造喷泉
4824,geologic,a 地质学的，地质的
4825,ecology,n 生态学；任何均衡的系统（制度等）
4826,vacant,n （房子等）空着的，没人住的；（位置等）空缺的
4827,clay,n 黏土；泥土
4828,formidable,a 可怕的，可畏的；庞大的
4829,convict,v 证明……有罪，宣告……有罪，定……的罪
4830,pronounced,a 决然的，断然的，强硬的
4831,marble,n 大理石  a 大理石（似）的；有大理石纹彩的
4832,grand,a 盛大的，宏大的；堂皇的，雄伟的
4833,grasshopper,n 蚱蜢，蝗虫
4834,trillion,a&n 万亿的，兆的；大量的
4835,accelerate,v 加速；催促，促进
4836,conceal,v 隐藏，隐蔽
4837,shut,v 关闭；把……关在门外，封闭
4838,stringent,a 严格的，严重的，严厉的；紧急的，迫切的
4839,soul,n 灵魂，心灵；精神
4840,utility,n 公用事业；公共设施
4841,subterranean,a 地下的，地中的
4842,arid,a 干旱的；贫瘠的，荒芜的
4843,prestige,n 威信，威望，声望；声誉
4844,populous,a 人口稠密的，人口多的；挤满的
4845,capture,n&v 俘获，捕获
4846,earthenware,n 土器，陶器
4847,drama,n 戏剧
4848,casual,a 随便的，非正式的
4849,accuse,v 控告（告发）某人犯某罪（of）；把谋事归罪于某人（for）
4850,mint,v 铸造（货币）  n 造币厂
4851,patch,n 碎片；碎屑；斑点，斑纹；斑
4852,participate,v 参与，参加，有关系；分担；共享
4853,continual,a 不断的，连续的
4854,fraction,n 小部分，碎片，片段
4855,tear,1 v 撕，扯；裂开，拉破  n 裂缝，绽线的地方；撕裂2 n 泪滴
4856,formation,n 组织，构造
4857,wage,v 进行，发动（战争等）
4858,parallel,a 平行的；并行的（to；with）；[电]并联的
4859,reign,n&v 统治，支配
4860,versatile,a 多面手的，多才多艺的
4861,outbreak,n 突然发生；爆发；暴动，骚扰；反抗
4862,eliminate,v 除去，消灭，逐出，淘汰，排出（from）
4863,fatal,a 致命的；命中注定的
4864,mere,a 单单的，只，不过；全然的；纯粹的
4865,saturated,a 饱和的，浸透的，湿透的
4866,gravity,n 重力，引力
4867,ambition,n 抱负，志气，雄心
4868,seasonal,a 季节（性）的；周期性的（[opp]irregular）
4869,unless,conj 如果不，要是不，除非
4870,session,n 一次，一段时间；会议；会议的一次（一届）
4871,tundra,n 冻土带，寒漠
4872,stereotype,n 旧框框；陈规老套，旧习，成规，定型
4873,resume,v 重新开始（已停的事），继续（中段的谈话等）
4874,whale,n 鲸；庞然大物
4875,residue,n 残余，残渣
4876,sufficient,a 充分的，足够的（[opp]inadequate）
4877,breeze,n 微风；柔风，和风
4878,surpass,v 超过；优于，胜过
4879,teens,n 十多岁（13~19岁）
4880,craft,1 n 技能，手艺；手工业2 v 熟练制作3 n 船舶；飞机，飞船
4881,ingenious,a 别处心裁的，巧妙的
4882,puzzle,n 难题，迷惑；（字谜、书谜等的）谜
4883,attach,v 贴上，系上
4884,chip,v 削，凿，刻
4885,objective,1 n 目的，目标，任务2 a 客观的；真实的（[opp]subjective）
4886,grasp,v 抓住，握紧，抱住，领会，理解
4887,tin,n 锡器；罐头
4888,flat,a 平的，平坦的，扁平的
4889,remind,v 使想起，使记起，提醒
4890,ion,n 离子
4891,province,n 省，州；[pl]地区，地方
4892,profound,a 深远的，意味深长的
4893,laboratory,n 实验室，化验室，研究室
4894,transparent,a 透明的，明了的，坦率的，显而易见的
4895,cure,1 n 治愈，痊愈；疗法2 v （鱼等用腌、熏、晒、烤等的）加工保藏（法）
4896,chance,n 偶然；运气，命运
4897,undergo,v （-went；-gone）经受（考验等）；经验，经历（变迁等）
4898,dismay,n&v （使）灰心；（使）沮丧
4899,axe,n （=ax）（[pl]axes）斧
4900,basement,n 建筑物的底部，[建筑]底层；地下室
4901,down,n （装被、褥等用的）鸭绒，绒毛；（鸟的）绒羽；柔毛，汗毛，毳毛；（男孩脸上初生的）细软短须；（蒲公英等的）冠毛
4902,solution,1 n 解决，解释，解法2 n 溶解；溶液，溶体，溶剂
4903,valid,a （理由、证据等）有确实根据的，确凿的；正确的
4904,configuration,n 结构；外形
4905,odd,a 奇妙的，奇特的，古怪的
4906,horizon,n 地平；地平线，眼界，视界；范围
4907,retract,v 缩进，收回
4908,reheating,n 重新加热
4909,withstand,v （withstood）抵挡；挡住
4910,predict,v 预言，预告，预报，预示
4911,vessel,1 n 船，舰；飞船2 n 脉管，血管；导管
4912,paradox,n 反论，悖论；自相矛盾的话
4913,military,a 军人的，军队的；军事的，军方的  n 军方
4914,slave,n 奴隶；苦工
4915,commodity,n 日用品；商品
4916,passion,n 激情，热情，感情
4917,magnesium,n 镁
4918,pigment,n 颜料，色料，色素
4919,tail,n 尾巴，尾状物  v 装上尾巴
4920,dye,n 染料，染液  v 染，染上，把……染色
4921,constituent,n 成分；构成
4922,mansion,n 宅第，公馆；大楼，公寓
4923,etch,n&v 蚀刻，浸蚀
4924,toe,n 脚趾，脚尖
4925,ranch,n 大牧场，大农场  v 经营牧场
4926,assert,v 主张，硬说；断言，声明
4927,stylized,a 程式化的，按固定格式的
4928,sweat,n 汗；出汗
4929,unprecedented,a 空前的；无比的
4930,uniform,1 a 一致的；相同的2 n 制服
4931,flattering,a 谄媚的，讨好的，奉承的
4932,bind,v 捆，扎，绑；束
4933,locomotion,n 运动，移动，位移；运动力，移动力，运转力
4934,discriminate,v 区别，识别；分别对待，歧视，排斥
4935,lamp,n 灯
4936,antagonize,v 反抗，对抗；引起……的对抗
4937,miniature,a 小型的，缩小的；小规模的
4938,rule,1 n 规则，定律，常例，惯例2 n&v 统治，支配
4939,innocent,a 天真无邪的；单纯的
4940,initial,1 a 最初的，开始的2 n 词首字母，词首大写字母
4941,dive,v 潜水；[泳]跳水；俯冲
4942,surplus,a&n 剩余（的）；过剩（的）
4943,spiky,a 尖而长的；锐利的
4944,sack,n 袋，包；麻袋；硬纸袋
4945,variety,n 种类；项目
4946,ingredient,n （混合物的）组成部分，成分，要素
4947,assess,v 评定，估定
4948,heritage,n 世袭财产，（长子）继承权
4949,refuse,1 v 拒绝，推辞（[opp]accept）2 n 废料，糟粕，渣滓，垃圾；废物
4950,larva,n 幼虫；幼体
4951,necessity,n 需要，必要性；必需品；必然（性）
4952,roam,n&v 漫游，游历，游荡，漫步
4953,restore,v 恢复原状；恢复；修复
4954,awkward,a 有毛病的，难使用的；笨拙的，粗劣的
4955,negotiate,1 v 协议，谈判，交涉2 v 通过，跳过（障碍）；克服（困难等）；处理；处置3 v 使（证券、票据等）流通，转让，兑现；卖（让）与
4956,nurse,n 护士，看护  v 护理，照料
4957,agent,n 作用物；成分
4958,brim,n （杯、碗等容器的）缘，边
4959,descend,v 下降（[opp]ascend）；下斜；传下，遗传
4960,odor,n 气味；香，香气；臭气
4961,hostile,a 敌人的，敌方的，怀有敌意的，敌对的
4962,acute,a 尖锐的；敏锐的；剧烈的
4963,stimulus,n 刺激；刺激物；促进因素
4964,pollen,n 花粉
4965,cotton,n 棉，棉花；棉线
4966,involved,a 复杂的
4967,speculation,1 n 沉思，思索；设想，推测2 n 投机，投机事业
4968,popularity,n 名气，名望；通俗性；大众性；流行；普及
4969,scratch,1 n 抓痕；搔痕；抓伤（破）；刮坏2 v 潦草地写；涂写；乱画；打草稿
4970,visual,a 视觉的，视力的
4971,stake,n 利害关系；风险
4972,ancestor,n 祖先；先祖，原种
4973,cliff,n 峭壁，断崖
4974,proceed,v 前进；进行
4975,culminate,v 达到极点，达最高潮；告终（in）
4976,pancreas,n 胰（腺）
4977,spirit,n 精神，心灵，灵魂
4978,alter,v 变更；改变
4979,stick,1 n 棒，棍；枝条；柴2 v 粘住；贴；使固着；安置
4980,moth,n 蛀虫；蛾
4981,steal,n 便宜货
4982,cylinder,n 圆筒；[数]柱（面），柱面；气缸
4983,loosely,ad 宽松地，松散地
4984,scheme,1 n 系统；配合；组织2 n 计划；方案；路线；设计
4985,throw,1 v 扔，摔，投，掷2 v 摔倒，使翻倒；（将船等）冲上（暗礁等）；（马）把……摔下来
4986,boost,v 推，升，提，支援；增加，提高；促进
4987,innovation,n 创新，革新；改革
4988,puddle,n （路上的）水坑，污水坑
4989,trail,1 n 痕迹，足迹，线索2 v 跟踪追赶
4990,pore,n 毛孔；气孔，细孔
4991,wrap,v 卷，缠（绕），包裹
4992,weary,a 疲倦的；感到厌倦的（of）
4993,gland,n 腺
4994,struggle,n&v 挣扎；努力，奋斗；同……斗争
4995,radiation,n 发光，放热，辐射线（热，能）
4996,spine,1 n 脊骨，脊柱2 n 棘状突起，刺，针
4997,triumph,n&v 欢庆胜利，大成功，功绩（[opp]failure）
4998,shovel,n 铲，铁锨  v 拿铲子铲
4999,mineral,n 矿物；无机物
5000,neoclassical,a 新古典主义的
5001,landmark,n 路标，地界标，里程碑，划时代的事
5002,functional,a 从使用的观点设计（构成）的
5003,dilute,a&v 冲淡（的），搀淡（的），稀释（的）
5004,burgeon,v 发芽，（突然）发展，急速成长
5005,inherit,v 继承；遗传而得
5006,solitary,a 独个儿的，孤独的；独居的（[opp]social）
5007,freight,n 货运列车（=freight train）
5008,insight,n 顿悟；洞察力；见识
5009,vocation,n 职业，行业
5010,behave,v 处身，行为，做人，举止，表现
5011,row,1 n （一）排，（一）行；一排（座位）2 n （两旁或一旁有房屋的）路
5012,precious,a 高价的，昂贵的；贵重的；宝贵的，珍贵的
5013,whittle,v 切；削；削减，减少
5014,barn,n 仓，谷仓，库房
5015,impair,v 损害，损伤
5016,lichen,n 地衣；苔藓
5017,oxygen,n 氧，氧气
5018,illusion,n 幻想；错觉
5019,troop,n 大群；群集  v 成群结队地走
5020,exert,v 用（力），尽（努力等）；发挥（威力等）
5021,heed,n&v 注意，留意
5022,confederacy,n 联盟，联邦
5023,petal,n 花瓣
5024,solder,v 焊；接合；锡焊；焊接；（使）结合
5025,navigate,v 航行；驾驶（船舶、飞机等）；导航
5026,fleeting,a 飞逝的，短暂的，飞跑的
5027,jumble,n&v 搞乱，（使）混杂
5028,inclination,n 倾向，嗜好
5029,performance,n 执行，实行，演奏；演出
5030,compact,1 a 密集的；紧密的；（文体等）紧凑的，简洁的2 v 把……弄紧密，把……弄结实，压实
5031,wholesale,1 a&ad&n 批发（的、地）2 a 大规模的
5032,talent,n 天资；才能；才干；本事
5033,campus,n 校园
5034,refer,1 v 涉及（to），说到2 v 表示，指示3 v 参考，引证，引用，翻阅，查看（账簿等）
5035,dawn,n 黎明，拂晓；开端，发端（[opp]dusk）
5036,genius,n 天才，天资，天赋，天分，才
5037,peak,n 山顶，最高点
5038,provision,n 预备，准备，设备（for；against）；供应
5039,purchase,v 买，购买，努力取得，（付出代价）赢得
5040,clue,n 线索
5041,possess,v 具有（能力、性质等），掌握（知识等）
5042,cautious,a 谨慎的，小心的
5043,campaign,n 战役；竞选运动
5044,rodent,n 啮齿动物  a 咬的，嚼的
5045,quadrilateral,a&n 四边形（的）
5046,synonymous,a 同义词的，类语的；同义的（[opp]antonym）
5047,bark,n 树皮
5048,asteroid,a 星状的  n 小行星
5049,trick,1 n 奸计，诡计，骗术  v 欺骗2 n 戏法；快手把戏，幻术
5050,curve,n 曲线  v 使弯曲，成曲线
5051,select,v 选择；挑选；选拔
5052,outstanding,a 显著的；凸出的，杰出的
5053,spiral,a 螺旋形的  v 盘旋
5054,jury,n 陪审团，（展览会、竞赛等的）全体评审员，评奖人
5055,trench,n 沟，渠  v 掘沟
5056,transmission,n 传递；传达；传送；发射；播送；通话；传输
5057,label,n 贴条，标签；标记，符号  v 贴标签于，把……叫做，分类，把……列为
5058,yarn,n 纱，纱线，毛线
5059,consist,v 有……组成（of）；存在于（in）；并存，并立（with）
5060,confirm,v （进一步）证实（确定）
5061,towel,n 毛巾；手巾  v 用毛巾擦
5062,flash,n&v （使）闪光，（使）闪烁
5063,scene,1 n 事件，史实2 n 景色，景致，风景3 n 场，（舞台的）布景，（戏剧中的）一场
5064,trip,n （短程）旅行，航行
5065,elicit,v 引出，探出（事实等）；诱出（回答等）
5066,dominate,v 操纵，支配
5067,discern,v 辨别，分清；看出，认出
5068,paddle,n 桨，桨状物；（轮船等的）蹼，桨板
5069,tobacco,n 烟草；烟叶；烟丝，卷烟
5070,urban,a 城市的（[opp]rural）
5071,distort,v 歪扭，弄歪；曲解
5072,panel,n 面，板；[建]四分板，门窗材，幅板，板条
5073,precarious,a 不确定的，靠不住的；危险的
5074,cellar,n 地窖，地下室
5075,precede,v 领先于，居先于，在……之先
5076,poverty,n 贫穷，缺乏，缺少，贫乏
5077,hypothesis,n （[pl]-ses）假设；假说，[逻]前提
5078,flax,n 亚麻；亚麻皮，亚麻纤维
5079,needlework,n 针线活，女红；刺绣，缝纫
5080,supplement,n&v 补足，增补
5081,immortal,a&n 不死的（人、物）
5082,nectar,n 花蜜
5083,significance,n 意义，重要（性）
5084,wit,n 智慧；理智；机智的人
5085,calendar,n 日历
5086,schedule,1 v 将……列入程序表（计划表，进度表）  n 排定，安排2 n 表（格）；清单，明细表
5087,primate,n 灵长目动物
5088,nebula,n 星云；云状，雾影
5089,tribe,n 部落，部族；家族
5090,amendment,n 改正，修正；修正草案
5091,involve,v 包括，涉及
5092,hang,v （hung，hanged）悬挂，垂吊（to；on；from）
5093,proficiency,n 精通，熟练（in）
5094,shuttle,v 穿梭般来回；短程来回运输  n [宇航]太空穿梭机
5095,sting,n [昆]螫针  v 螫，刺；叮
5096,marrow,n 髓，骨髓；精髓
5097,modem,n 调制解调器  v 用调制解调器联通
5098,warfare,n 战争，战争状态（行为）
5099,coincide,v 与……一致，相合，符合，相符，相巧合（with）
5100,accumulate,v 积累，存储
5101,usher,v 引导，展示（in）
5102,overturn,n&v 颠覆；推翻；打倒，（使）倒
5103,rigid,a 刚硬的，坚定的，严格的，僵化的
5104,frontier,n 边疆；边界，边缘
5105,extract,v 分离出，提取
5106,subjugation,n 镇压；平息
5107,humanity,n 人类，人性，人情，人道
5108,continuous,a 连续的，继续的
5109,occasion,1 n （庆祝等的特殊）场合；（重大）时节，时刻2 n 机会；（适当的）时机
5110,soap,n 肥皂
5111,pinhead,n 针头；小东西，无聊东西；傻子，笨人
5112,hierarchy,n 层次
5113,controversy,n 争论，辩论
5114,request,n&v 请求，恳求
5115,overcome,v 打败，战胜，征服；克服（困难）
5116,swing,1 n&v 摇摆，摇动，（往复）摇荡2 n 摇摆舞音乐
5117,gulf,n 鸿沟；分歧，隔阂
5118,release,1 v 释放；吐出，放出2 v 发表；发行
5119,furnish,v 供给，供应，提供
5120,intense,a 激烈的，强烈的；紧张的
5121,regard,1 v 把……看做，把……视为，把……认为（as…）2 n 方面；事项，关系
5122,exemplify,v （-fied）举例证明（解释）；示范；做……的范例
5123,paramount,a 最高的，至上的，卓越的；胜过……的（to）
5124,thought,n 思想，想法，意图，观念
5125,sale,n 卖，出售；销量，销售额
5126,theater,n 剧场，戏院
5127,corrosion,n 腐蚀，侵蚀
5128,burst,v 破裂，迸裂，爆炸；爆发出，喷出
5129,fatigue,n 疲乏，劳累
5130,lace,1 n 带子，花边2 v 交织
5131,daring,a 胆大的，勇敢的
5132,ape,n 猿
5133,helium,n 氦
5134,turnpike,n 收税高速公路，收费公路
5135,caste,n （昆虫的）职别（如工蜂等）；等级（制度）
5136,log,1 n 原木，圆木，干材  v （把树）砍倒，锯成圆材；拖（木头）2 v 航行；飞行；以……的时速飞行（航行）
5137,discipline,n 学科
5138,shake,v 摇；摇动；摇撼
5139,volume,n 体积；容积
