,vocal,meaning
1163,deploy,spread out (troops) in an extended though shallow battle line;
1164,deport,"send out of the country; behave; N. deportation, deportment"
1165,depose,dethrone; remove from office; give a deposition; testify
1166,deposition,testimony under oath; deposing; dethroning
1167,depravity,extreme corruption; wickedness; V. deprave
1168,deprecate,express disapproval of; deplore; protest against; belittle; ADJ. deprecatory
1169,depreciate,lessen in value; belittle; represent as of little value
1170,depredation,plundering; destruction
1171,deputize,work or appoint as a deputy; N. deputy: person who has the power to take charge when the leading person is away
1172,deranged,insane
1173,derelict,negligent; (of someone) neglectful of duty; (of something) deserted by an owner; abandoned; N: abandoned property; homeless or vagrant person
1174,dereliction,neglect of duty; abandonment
1175,deride,ridicule; treat with contempt; make fun of; OP. respect
1176,derision,ridicule; ADJ. derisive; CF. derisory
1177,derivation,deriving; origin or source of something; Ex. the derivation of the word
1178,derivative,unoriginal; obtained from another source; Ex. derivative prose style; N.
1179,dermatologist,one who studies the skin and its diseases
1180,derogatory,expressing a low opinion; disparaging; V. derogate: detract; disparage
1181,descry,catch sight of (something distant)
1182,desecrate,profane; violate the sanctity of
1183,deserts,what someone deserves
1184,desiccate,dry up
1185,desolate,make desolate; forsake; abandon and desert
1186,desperado,"reckless, desperate outlaw"
1187,desperate,having lost all hope; despairing; reckless and violent because of loss of hope or despair; undertaken as a last resort
1188,despise,look on with scorn; regard as worthless or distasteful; ADJ. despicable: contemptible
1189,despoil,plunder; sack; Ex. despoil the village
1190,despondent,without hope and courage; depressed; gloomy; N. despondency: loss of hope with gloom; dejection
1191,despot,"tyrant; harsh, authoritarian ruler; CF. despotism"
1192,destitute,extremely poor; lacking means of subsistence; utterly lacking; devoid; Ex. destitute of any experience
1193,desultory,aimless; haphazard; digressing at random
1194,detached,emotionally removed; free from emotional involvement; calm and objective; physically separate; N. detachment; CF. attachment
1195,detain,keep waiting; prevent from leaving or going; N. detention
1196,determinate,having a fixed order of procedure; precisely defined; invariable; fixed; conclusive; final
1197,determination,resolve; firmness of purpose; measurement or calculation; decision
1198,deterrent,something that discourages or deters
1199,detonation,explosion
1200,detraction,slandering; aspersion; detracting; CF. detractor
1201,detrimental,harmful; damaging; N. detriment
1202,deviate,"turn away from (a principle, norm); move away from an accepted standard; swerve; depart; diverge; N. deviation; Ex. deviation of the path of light by a prism"
1203,devious,roundabout; erratic; deviating from the straight course; not straightforward; not completely honest; Ex. devious route
1204,devise,think up; invent; plan; bequeath; N: bequest
1205,devoid,empty; lacking
1206,devolve,"deputize; pass or be passed to others (power, work, or property); Ex. devolve on/upon/to"
1207,devotee,enthusiastic follower; enthusiast; Ex. devotee of Bach
1208,devout,pious; deeply religious; sincere; earnest; Ex. my devout hope
1209,dexterous,skillful; skill in using hands or mind; N. dexterity
1210,diabolical,diabolic; devilish; fiendish
1211,diadem,crown
1212,dialectical,relating to the art of debate; mutual or reciprocal; Ex. dialectical situation; N. dialectic: art of arriving at the truth by the exchange of logical arguments
1213,diaphanous,sheer; transparent
1214,diatribe,bitter scolding or denunciation; invective; abuse
1215,dichotomy,division into two opposite parts; split; branching into two parts (especially contradictory ones)
1216,dictum,"authoritative and weighty statement (made by a judge in court); saying; maxim; CF. obiter dictum: incidental, nonbinding remark (something said in passing)"
1217,didactic,(of speech or writing) intended to teach a moral lesson; teaching; instructional; N. didacticism
1218,die,metal block used for shaping metal or plastic; device for stamping or impressing; mold; CF. dice
1219,diffidence,shyness; lack of self-confidence; timidity; ADJ. diffident
1220,diffuse,wordy; verbose; rambling; spread out (like a gas); V: spread out in all directions; disperse; N. diffusion; CF. suffuse
1221,dignitary,person of high rank or position
1222,digression,wandering away from the subject; V. digress
1223,dilapidated,falling to pieces; in a bad condition; ruined because of neglect; Ex. dilapidated old car/castle; N. dilapidation
1224,dilate,expand; dilate on/upon: speak or write at length on (a subject)
1225,dilatory,delaying; tending to delay
1226,dilemma,situation that requires a choice between equally unfavorable options; problem; choice of two unsatisfactory alternatives
1227,dilettante,aimless follower of an art or a field of knowledge (not taking it seriously); amateur; dabbler; CF. delight
1228,diligence,steadiness of effort; persistent hard work
1229,dilute,make (a liquid) less concentrated; reduce in strength; Ex. dilute the influence of the president
1230,diminution,lessening; reduction in size; V. diminish
1231,din,continued loud noise; V: make a din; instill by wearying repetition
1232,dinghy,small boat (often ship's boat)
1233,dingy,(of things and place) dirty and dull; Ex. dingy street/curtain
1234,dint,means; effort; Ex. by dint of hard work
1235,diorama,"life-size, three-dimensional scene from nature or history; three- dimensional scene with modeled figures against a painted background"
1236,dire,warning of disaster; disastrous; (of needs and dangers) very great; urgent; Ex. dire prediction/need of food
1237,dirge,funeral song; slow mournful piece of music (sung over a dead person)
1238,disabuse,correct a false impression; undeceive; free from a wrong belief
1239,disaffected,disloyal; lacking loyality; V. disaffect: cause to lose affection or loyalty
1240,disapprobation,disapproval; condemnation
1241,disarray,state of disorder; a disorderly or untidy state; Ex. with her clothes in disarray
1242,disavowal,denial; disclaiming; repudiating; disowning; V. disavow; CF. disclaim
1243,disband,dissolve; disperse; (of a group) break up and separate; Ex. The club has disbanded.
1244,disbar,make (a lawyer) leave the bar or the legal profession
1245,disburse,pay out (as from a fund); N. disbursement; CF. purse
1246,discernible,distinguishable; perceivable; Ex. discernible improvement
1247,discerning,mentally quick and observant; having insight; perceptive; able to make good judgments; V. discern: perceive
1248,disclaim,disown; renounce claim to; deny; CF. disclaimer
1249,disclose,reveal; N. disclosure
1250,discombobulated,discomposed; confused
1251,discomfit,frustrate; put to rout; defeat; disconcert; embarrass; perturb
1252,discompose,disturb the composure of; confuse
1253,disconcert,confuse; upset; embarrass; perturb
1254,disconsolate,hopelessly sad (at the loss of something)
1255,discord,conflict; lack of harmony; dissonance (when musical notes are played)
1256,discordant,not harmonious; conflicting
1257,discount,disregard; regard (a story or news) as unimportant; deduct from a cost
1258,discourse,"serious speech, writing, or conversation; formal discussion (either written or spoken); conversation; V."
1259,discredit,defame; disgrace; destroy confidence in; disbelieve; N. CF. discreditable: causing discredit; shameful
1260,discrepancy,lack of consistency or agreement as between facts; difference; Ex. discrepancy between two descriptions
1261,discrete,separate; unconnected
1262,discretion,prudence; ability to adjust actions to circumstances; freedom of action or judgment; ADJ. discreet; CF. discretionary
1263,discriminate,distinguish; make distinctions on the basis of preference
1264,discriminating,able to see differences; discerning; prejudiced; N. discrimination
1265,discursive,(of a person or writing) digressing; rambling (without any clear plan)
1266,disdain,treat with scorn or contempt
1267,disembark,debark; go ashore (from a ship); unload cargo from a ship; CF. embark
1268,disenfranchise,disfranchise; deprive of a civil right; OP. enfranchise
1269,disengage,uncouple; separate; disconnect; stop fighting; OP. engage
1270,disfigure,mar the appearance of; spoil
1271,disgorge,surrender something (stolen); eject; vomit; OP. gorge
1272,disgruntle,make discontented
1273,dishearten,discourage
1274,disheveled,untidy (of hair or clothing); V. dishevel
1275,dishonor,disgrace; N. ADJ. dishonorable
1276,disinclination,unwillingness
1277,disingenuous,not naive; not candid; sophisticated; worldly wise; OP. ingenuous
1278,disinter,dig up; unearth; OP. inter
1279,disinterested,unprejudiced; free from bias and self-interest; objective
1280,disjointed,disconnected; lacking coherence; V. disjoint: disconnect; disjoin
1281,disjunction,act or state of separation; disunity; CF. disjunctive: expressing a choice between two ideas; CF. conjunction; CF. conjunctive
1282,dislodge,remove (forcibly); force out of a position; Ex. dislodge the food caught in his throat; CF. lodge
1283,dismantle,take apart; disassemble
1284,dismember,cut into small parts; cut (a body) apart limb from limb
1285,dismiss,eliminate from consideration; no longer consider; put out of court without further hearing; reject; discharge from employment; direct to leave; ADJ. dismissive; N. dismissal
1286,disparage,belittle
1287,disparate,basically different; impossible to compare; unrelated
1288,disparity,difference; condition of inequality; OP. parity
1289,dispassionate,calm; impartial; not influenced by personal feelings
1290,dispatch,speediness; prompt execution; message sent with all due speed; V: send to a specified destination; finish promptly; kill
1291,dispel,scatter; drive away; cause to vanish
1292,dispense,distribute; prepare and give out (medicines); N. dispensation: dispensing; religious system; official exemption from an obligation or a rule
1293,disperse,scatter; Ex. disperse the cloud/crowd
1294,dispirited,lacking in spirit
1295,disport,amuse; Ex. disport oneself; CF. divert
1296,disproportion,lack of proportion (between the parts); ADJ. disproportionate
1297,disputatious,argumentative; fond of argument
1298,disquietude,uneasiness; anxiety; V. disquiet: make anxious
1299,disquisition,formal systematic inquiry; explanation of the results of a formal inquiry; long formal speech or written report
1300,dissection,analysis; cutting apart in order to examine
1301,dissemble,disguise; hide the real nature of; pretend
1302,disseminate,distribute; spread; scatter (like seeds)
1303,dissension,disagreement of opinions causing strife within a group
1304,dissent,disagree
1305,dissertation,formal essay; treatise
1306,dissident,"dissenting (with an opinion, a group, or a government); rebellious; N."
1307,dissimulate,pretend; conceal by feigning; dissemble
1308,dissipate,squander; waste foolishly; scatter
1309,dissolution,disintegration; reduction to a liquid form; looseness in morals; sensual indulgence; debauchery; ADJ. dissolute: lacking in moral restraint; leading an immoral life
1310,dissonance,discord
1311,dissuade,persuade not to do; discourage; N. dissuasion
1312,distant,reserved or aloof; cold in manner; Ex. distant greeting; ADV. distantly
1313,distend,expand; swell out
1314,distill,refine (a liquid by evaporating and subsequent condensation); concentrate; separate the most important parts from; Ex. distill fresh water from sea water; CF. brew
1315,distinct,clearly different; clearly noticed
1316,distinction,honor; excellence; difference; contrast; discrimination; Ex. graduated with distinction; Ex. a writer of real distinction
1317,distinctive,clearly different from others of the same kind
1318,distort,twist out of shape; give a false account of; misrepresent; N. distortion
1319,distract,take (one's attention) off something; upset emotionally; make anxious; ADJ. distracted
1320,distrait,absentminded; distracted
1321,distraught,upset; distracted by anxiety; very anxious and troubled almost to the point of madness; Ex. distraught with grief/worry
1322,diurnal,daily; occurring during the daytime
1323,diva,operatic singer; prima donna
1324,diverge,vary; go in different directions from the same point; ADJ. divergent: differing; deviating
1325,diverse,differing in some characteristics (from each other); various; N. diversity: | variety; dissimilitude; lack of resemblance
1326,diversion,act of turning aside; pastime; V. divert: turn aside from a course; distract; amuse
1327,divest,strip (as of clothes); deprive (as of rights); dispossess; N. divestiture(divestment)
1328,divine,perceive intuitively (by or as if by magic); foresee the future; foretell; dowse; ADJ. N. divination
1329,divulge,reveal
1330,docile,obedient; easily managed; submissive
1331,docket,program as for trial; book where such entries are made; list of things to be done; agenda; label fixed to a package listing contents or directions; V: describe in a docket
1332,doctrinaire,unable to compromise about points of doctrine; dogmatic; unyielding; marked by inflexible attachment to a doctrine without regard to its practical difficulties
1333,doctrine,"teachings in general; particular principle (religious, legal, etc.) taught; dogma; tenet; ADJ. doctrinal"
1334,document,provide written evidence (for a claim); record with documents; N.
1335,doddering,shaky; infirm from old age; V. dodder
1336,doff,take off; OP. don
1337,dogged,determined; stubborn; stubbornly persevering; tenacious; Ex.
1338,doggerel,poor verse
1339,dogmatic,opinionated; holding stubbornly to one's opinion; arbitrary; doctrinal
1340,doldrums,blues; listlessness(lack of spirit or energy); slack(inactive) period; period of stagnation; ocean area near the equator where ships cannot move because there is no wind; Ex. in the doldrums
1341,dolorous,sorrowful; N. dolor
1342,dolt,slow-thinking stupid person; CF. dull
1343,domicile,home; V. ADJ. domiciled: having one's domicile; Ex. He is domiciled in Britain.
1344,dominant,exercising the most influence; high and easily seen; stronger than the other part of a system; not recessive
1345,dominate,control; rule; enjoy a commanding position in; overlook from a height; 郴妨促焊促
1346,domineer,rule over tyrannically
1347,don,put on; OP. doff
1348,doom,condemnation to a severe penalty; ruin; fate (esp. a tragic or ruinous one); V.
1349,dormant,sleeping; temporarily inactive; lethargic; latent
1350,dormer,window projecting upright from roof; CF. sleeping room
1351,dorsal,relating to the back of an animal; Ex. dorsal fin
1352,dossier,file of documents on a subject or person; file; CF. bundle of papers labeled on the back
1353,dotage,senility; feeblemindedness of old age; Ex. In one's dotage
1354,dote,be excessively fond of; show signs of mental decline
1355,dour,sullen; gloomy; stubborn
1356,douse,plunge into water or liquid; dip; immerse; drench; wet throughly; extinguish; throw water over; dowse
1357,dowdy,untidy (of a woman or clothes); slovenly; dressed in an unattractive way; shabby; CF. unattractive woman
1358,downcast,disheartened; dejected; sad; directed downward
1359,dowry,money or property brought by a bride to her husband at marriage
1360,dowse,use a divining rod to search for underground water or minerals
1361,doze,sleep lightly; nap
1362,drab,dull; lacking color; cheerless ; Ex. drab coat/life
1363,draconian,extremely severe; Ex. draconian punishment; CF. Draco: Athenian politician
1364,draft,first rough form; conscription; draught; V: make a draft of; conscript
1365,drama,prose or verse composition to be performed by actors; play; exciting and unusual situation
1366,drastic,strong; violent and severe; Ex. drastic changes/measures
1367,draught,current of air (through a room or to a fire); act of pulling roads; act of swallowing liquid or amount of liquid swallowed at a time
1368,draw,choosing of a lot or card
1369,dregs,sediment in a liquid; lees; worthless residue
1370,dribble,flow or fall in drops; let saliva flow out slowly from the mouth; move a ball; N.
1371,drip,fall or let fall in drops; shed drops; N: action or sound of falling in drops; liquid that falls in drops
1372,drivel,nonsense; foolishness; V: talk nonsense
1373,droll,queer and amusing
1374,drone,talk dully; buzz or murmur like a bee; N.
1375,droop,bend or hang downward; become weakened; Ex. His shoulders drooped with tiredness; N.
1376,dross,waste matter; worthless impurities
1377,drudge,do drudgery; N: person who drudges
1378,drudgery,hard unpleasant work; menial work
1379,dubious,questionable; (of something) causing doubt; (of someone) filled with doubt; N. dubiety
1380,ductile,malleable; pliable; (of metals) easily pulled into shape; flexible; (of someone) easily influenced or controlled
1381,dulcet,sweet sounding; pleasing to the ear; melodious
1382,dull,(of colors or surfaces) not bright; cloudy; overcast; boring; (of edge or sound) not sharp; not rapid; sluggish; slow in thinking and understanding; stupid; V.
1383,dumbfound(dumfound),"astonish (making dumb); ADJ. dumbfounded, dumfounded, dumbstruck"
1384,dummy,imitation of a real object used as a substitute; effigy
1385,dupe,someone easily fooled or deceived; V: deceive
1386,duplicity,double-dealing; hypocrisy; being dishonest and deceitful; ADJ. duplicitous
1387,duration,length of time something lasts
1388,duress,"forcible restraint, especially unlawfully; coercion by threat; illegal coercion; Ex. a promise made under duress"
1389,dutiful(duteous),(of people or their behavior) respectful; obedient (filled with a sense of duty)
1390,dwindle,shrink; reduce gradually
1391,dynamic,energetic; vigorously active
1392,dynamo,generator for producing electricity; energetic person
1393,dys-,abnormal; impaired
1394,dysentery,inflammatory disorder of the lower intestinal tract
1395,dyslexia,word blindness; learning disorder marked by impairment of the ability to read
1396,dyspeptic,suffering from indigestion; N. dyspepsia: indigestion; difficulty in digesting food
1397,earn,gain for the performance of service or labor; gain (something that one deserves); deserve
1398,earthly,of this earth; terrestrial; worldly; not divine; possible; Ex. no earthly reason
1399,earthy,unrefined; coarse; of earth; Ex. earthy remarks; OP. ethereal
1400,ebb,(of the tide) recede; lessen; diminish; N. OP. flow: rise of tide
1401,ebullient,"showing excitement; overflowing with enthusiasm; boiling; N. ebullience;
N. ebullition: state of boiling"
1402,eccentric,irregular; odd; unconventional; whimsical; bizarre; not concentric
1403,eccentricity,oddity; idiosyncrasy
1404,ecclesiastic,ecclesiastical; pertaining to the church; N: minister; priest; cleric; clergyman
1405,eclectic,selective; composed of elements drawn from disparate sources; selecting individual elements from a variety of sources; N. eclecticism
1406,eclipse,darken; extinguish; outshine; surpass; cause an eclipse
1407,ecliptic,path of the sun and the planets
1408,ecologist,person concerned with the interrelationship between living organisms and their environment; person concerned with the detrimental effects of human civilization on the environment; CF. ecology
1409,economy,efficiency or conciseness in using something; thrifty management of resources
1410,ecosystem,ecological community together with its environment
1411,ecstasy,rapture; very strong feeling of joy and happiness; any overpowering emotion; ADJ. ecstatic: causing or experiencing ecstasy
1412,eddy,"swirling current of water, air, etc.; V."
1413,edict,decree (especially one issued by a sovereign); official command
1414,edifice,building (of imposing size)
1415,edify,instruct; correct morally
1416,eerie,weird; causing fear because strange
1417,efface,rub out; remove the surface of
1418,effective,effectual; producing a strong response; striking; in operation; in effect; Ex. effective speech/photograph
1419,effectual,able to produce a desired effect; valid
1420,effectuate,effect; produce; achieve; Ex. effectuate a reconciliation
1421,effeminate,having womanly traits
1422,effervescence,inner excitement or exuberance; showing high spirits; emitting bubbles forming inside; bubbling from fermentation or carbonation; ADJ. effervescent; V. effervesce
1423,effete,having lost one's original power; barren; worn out; exhausted
1424,efficacy,power to produce desired effect; ADJ. efficacious: effectual
1425,effigy,"dummy; likeness of a person made of wood, paper, or stone; Ex. burn an effigy of the President"
1426,effluvium,noxious(harmful) smell
1427,effrontery,rudeness without any sense of shame; shameless boldness; presumptousness; nerve; cheek
1428,effulgent,shining brightly; brilliant
1429,effusion,pouring forth; unrestrained outpouring of feeling; V. effuse: pour out; ADJ. effusive: pouring forth; gushing
1430,ego,one's opinion of oneself; self-esteem
1431,egoism,"excessive interest in one's self; belief that one should be interested in one's self rather than in others; selfishness; ADJ. egoistic, egoistical"
1432,egotism,tendency to speak or write of oneself excessively; conceit; self-importance
1433,egotistical,egotistic; excessively self-centered(egocentric); self-important; conceited
1434,egregious,notorious; conspicuously bad or shocking
1435,egress,exit; opening for going out; act of going out; OP. ingress
1436,ejaculation,exclamation; abrupt ejection (to discharge sperm); V. ejaculate
1437,elaborate,work out carefully; add more detail or information; ADJ.
1438,elaboration,addition of details; intricacy
1439,elastic,able to spring back into shape; quick to recover (as from disappointment); able to adapt to change; Ex. elastic plans; N: elastic material
1440,elated,filled with excited joy and pride; overjoyed; in high spirits; joyful and proud; Ex. elated crowd; V. elate; N. elation
1441,elegy,"poem or song expressing lamentation (for the dead); ADJ. elegiacal, elegiac"
1442,elevation,elevated position; altitude; height; flat upright side of a building; angle made by pointing a gun; Ex. The elevation of her style is much admired; Ex. front elevation of the house
1443,elicit,draw out fact or information (by discussion or from someone)
1444,elixir,cure-all; panacea; something invigorating
1445,ellipsis,omission of words from a text; mark used to indicate an omission (when the meaning can be understood without them); PL. ellipses
1446,elliptical,elliptic; oval; of an ellipse; containing an ellipsis; ambiguous either purposely or because key words have been left out
1447,elope,run away secretly with the intention of getting married
1448,eloquence,expressiveness; persuasive speech; ADJ. eloquent: movingly expressive; expressing ideas well so that the hearers can be influeneced
1449,elucidate,explain; make clear; clarify; enlighten; CF. lucid
1450,elusive,"evasive; not frank; baffling; hard to grasp, catch, or understand; V. elude: escape from; escape the understanding or grasp of; Ex. elude the hunter; Ex. His name eludes me."
1451,elysian,relating to paradise; blissful
1452,Elysium,place or condition of bliss
1453,emaciated,thin and wasted (from hunger or illness)
1454,emanate,issue forth; come out
1455,emancipate,set free; liberate
1456,emasculate,weaken; castrate
1457,embargo,ban on commerce or other activity
1458,embark,commence; go on board a boat; begin a journey
1459,embed(imbed),enclose; place in something; fix firmly in a surrounding mass
1460,embellish,adorn; ornament; enhance as a story (by adding fictitious details)
1461,embezzlement,taking for one's own use in violation of trust; stealing (of money placed in one's care)
1462,embitter,make bitter; fill with painful or bitter feelings; make sad and angry; Ex. He was embittered by many disappointments.
1463,emblazon,ornament richly (a shield or flag); N. emblazonment
1464,embody,give a bodily form to; incorporate; include
1465,emboss,produce a design in raised relief; decorate with a raised design
1466,embrace,hug; clasp with the arms; adopt or espouse; accept readily; encircle; include; Ex. embrace the cause/socialism; Ex. all-embracing; CF. brace; CF. bracelet
1467,embroider,decorate with needlework; ornament (a story) with fancy or fictitious details; embellish
1468,embroil,"throw into confusion; involve in strife, dispute, or quarrel; entangle; CF. imbroglio"
1469,embryonic,undeveloped; rudimentary; N. embryo: organism in the early stage of development
1470,emend,correct (usually a text); N. emendation: correction of errors; improvement
1471,emetic,substance causing vomiting; ADJ.
1472,eminent,rising above others; high; lofty; distinguished; Ex. eminent position
1473,emissary,agent (sent on a mission to represent another); messenger
1474,emollient,soothing or softening remedy (for the skin); ADJ.
1475,emolument,salary; payment for an office; compensation
1476,empathy,"ability to identify with another's feelings, ideas, etc.; identification with and understanding of another's feelings; V. empathize; CF. sympathy"
1477,empirical,based on experience
1478,emulate,imitate; rival; try to equal or excel (through imitation)
1479,enact,make (a bill) into law
1480,enamored,in love; Ex. enamored of his own beauty; V. enamor: inspire with love
1481,encipher,encode; convert a message into code; put into cipher
1482,encircle,surround
1483,enclave,territory enclosed within an alien land
1484,encomiastic,praising; eulogistic; N. encomium: very high praise; eulogy
1485,encompass,surround; include; Ex. His activities encompass publishing and computers.
1486,encroachment,gradual intrusion; Ex. I resent all these encroachments on my valuable time; V. encroach: take another's possessions or right gradually or stealthily; intrude; Ex. encroach on/upon
1487,encumber,burden; N. encumbrance
1488,endear,make beloved; Ex. endear her to everyone; ADJ. dear: loved; cherished; high-priced
1489,endearment,fond word or act; expression of affection
1490,endemic,prevailing among a specific group of people or in a specific area or country; peculiar to a particular region or people; CF. pandemic
1491,endorse,approve; support; write one's signature on the back of; N. endorsement; CF. dorsal
1492,endue,provide with some quality; endow
1493,enduring,lasting; surviving; V. endure: bear (pain or suffering) for a long time; remain alive (in spite of difficulties); last; survive
1494,energize,invigorate; give energy to; make forceful and active
1495,enervate,weaken; take away energy from
1496,enfranchise,admit to the rights of citizenship (especially the right to vote); CF. franchise
1497,engage,attract; employ; hire; pledge oneself; confront; fight; enter into confliction; interlock; lock together; participate; N. engagement: agreement to marry; arrangement to meet someone or to do something; battle
1498,engaged,employed; busy; betrothed; involved in conflict
1499,engaging,charming; attractive
1500,engender,cause; produce; give rise to
1501,engross,occupy fully; absorb
1502,engulf,surround and swallow up
1503,enhance,"increase; make greater (as in value, reputation, or usefulness); improve"
1504,enigma,puzzle; mystery; ADJ. enigmatic: obscure; puzzling
1505,enjoin,command; order; forbid
1506,enlist,"(cause to) join the armed forces; obtain (help, sympathy, or support)"
1507,enliven,make lively or spirited; animate
1508,enmity,ill will; hatred; hostility
1509,ennui,boredom; listlessness and dissatisfaction resulting from lack of interest; CF. annoy
1510,enormity,hugeness (in a bad sense); excessive wickedness; Ex. enormity of the crime; ADJ. enormous
1511,enrapture,please intensely; fill with rapture and delight
1512,ensconce,settle comfortably; place comfortably (in a secure place)
1513,ensue,follow (as a result)
1514,entail,make necessary; require; necessitate; involve; limit the inheritance of (property) to a specified succession of heirs; Ex. entail A on/upon B
1515,enterprise,willingness to take new ventures; initiative; business organization; plan (that is difficult or daring); Ex. their latest enterprise to sail round the world in a small boat
1516,enterprising,full of initiative; showing enterprise
1517,enthrall,capture; enslave; captivate; hold the complete attention of (as if magic); hold spellbound
1518,entice,lure; persuade to do (something wrong); attract; tempt
1519,entity,real being
1520,entomology,study of insects
1521,entourage,group of attendants; retinue; CF. surround
1522,entrance,put under a spell(condition caused by magical power); carry away(fill with strong feeling) with emotion; put into a trance; fill with delight
1523,entreat,plead; ask earnestly
1524,entree(entr\'ee),entrance; a way in; right to enter; main dish of a meal; Ex. entree into the exclusive circle
1525,entrepreneur,businessperson (who assumes the risk of a business venture); contractor; ADJ. entrepreneurial
1526,enumerate,list; mention one by one
1527,enunciate,"announce; proclaim; utter or speak, especially distinctly; pronounce clearly; articulate; Ex. This theory was first enunciated by him."
1528,environ,enclose; surround; N. environs: surrounding area (as of a city)
1529,eon(aeon),long period of time; an age; longest division of geologic time containing two or more eras
1530,epaulet(epaulette),"ornament worn on the shoulder (of a uniform, etc.)"
1531,ephemeral,short-lived; fleeting
1532,epic,"long heroic poem, novel, or similar work of art (celebrating the feats of a"
1533,epicure,connoisseur of food and drink; gourmet; ADJ. epicurean; CF. Epicurus
1534,epicurean,believing that pleasure is good and suffering is bad and should be avoided; N.
1535,epigram,"witty thought or saying, usually short"
1536,epilogue,short speech at conclusion of dramatic work
1537,episodic,(of a story or play) loosely connected; made up of separate and loosely connected parts; N. episode: incident in the course of an experience
1538,epistemologist,philosopher who studies the nature of knowledge; N. epistemology
1539,epitaph,inscription in memory of a dead person (as on a tombstone)
1540,epithet,word or phrase characteristically used to describe a person or thing; descriptive phrase to characterize a person (often contemptous)
1541,epitome,perfect example or embodiment; brief summary; Ex. epitome of good manners; V. epitomize: make an epitome of; be an epitome of; embody
1542,epoch,period of time
1543,equable,tranquil; of even calm temper; (of temperature) steady; uniform
1544,equanimity,calmness of temperament; composure
1545,equestrian,rider on horseback; ADJ.
1546,equilibrium,balance of opposing forces; balance of the mind; equanimity
1547,equine,resembling a horse; Ex. equine face
1548,equinox,period of equal days and nights; the beginning of spring and autumn; Ex. vernal/autumnal equinox; ADJ. equinoctial
1549,equipoise,balance; balancing force; equilibrium
1550,equitable,fair; impartial; OP. inequitable
1551,equity,fairness; justice; OP. inequity
1552,equivocal,(of words or statements) ambiguous; intentionally misleading; (of behavior) questionable; OP. unequivocal
1553,equivocate,use equivocal language to deceive people; lie; mislead; attempt to conceal the truth; N. equivocation
1554,erode,eat away; wear away gradually by abrasion; Ex. The sea erodes the rocks.
1555,erotic,pertaining to passionate love or sexual love
1556,errant,wandering (esp. in search of adventure); straying from proper moral standards; Ex. knight-errant
1557,erratic,odd; irregular in movement or behavior; unpredictable
1558,erroneous,mistaken; wrong; incorrect
1559,erudite,(of a person or book) learned; full of learning; scholarly; N. erudition
1560,escapade,prank; flighty conduct; reckless adventure that disobeys rules
1561,eschew,avoid habitually; Ex. eschew alcoholic drinks
1562,esoteric,"hard to understand; known only to the chosen few, esp. initiates; N. esoterica"
1563,espionage,spying
1564,espouse,adopt; support (an idea or aim); marry; N. espousal
1565,esteem,respect; value; judge; N.
1566,estimable,(of a person) worthy of esteem; admirable; deserving esteem; possible to estimate
1567,estranged,separated; alienated; V. estrange: alienate (people in a family); N. estrangement
1568,ethereal,like a spirit or fairy; unearthly light; heavenly; unusually refined; Ex. She has an ethereal beauty; CF. ether: upper air
1569,ethnic,relating to races
1570,ethnology,study of humankind; study of the different races of human beings; CF. anthropology
1571,ethos,"underlying character of a culture, group, etc.; character or ideas peculiar to a specific person, group, or culture; Ex. the company ethos"
1572,etymology,study of word parts; study of the origins of words
1573,eugenic,pertaining to the improvement of race; N. eugenics: study of hereditary improvement of the human race
1574,eulogistic,praising; full of eulogy
1575,eulogy,"expression of praise, often on the occasion of someone's death; V. eulogize"
1576,euphemism,mild expression in place of an unpleasant one; ADJ. euphemistic
1577,euphony,sweet sound; ADJ. euphonious
1578,euphoria,feeling of exaggerated or unfounded(ungrounded; baseless) well-being; feeling of great happiness or well-being (when unreasonable); ADJ. euphoriaric
1579,euthanasia,mercy killing
1580,evanescent,fleeting; vanishing; soon disappearing; V. evanesce
1581,evasive,not frank; trying to hide the truth; eluding; evading; V. evade: avoid (a duty or responsibility) or escape from by deceit
1582,evenhanded,impartial; fair
1583,eventual,happening at last as a result; Ex. eventual victory
1584,evince,show clearly
1585,evocative,"tending to call up (emotions, memories)"
1586,evoke,call forth (memory or feeling); Ex. That old film evoked memories of my childhood; N. evocation
1587,ewe,female sheep
1588,exacerbate,worsen; aggravate; embitter
1589,exact,demand and obtain by force; Ex. exact a promise from him; N. exaction
1590,exacting,extremely demanding; Ex. exacting standard of safety
1591,exalt,raise in rank or dignity; praise highly; inspire; Ex. exalt the imagination; ADJ. exalted; N. exaltation
1592,exasperate,vex; annoy or make angry (by testing the patience)
1593,except,exclude; N. exception: objection; exclusion; ADJ. exceptional: unusual; of unusually high quality
1594,exceptionable,objectionable; likely to cause dislike; offensive; CF. unexceptionable: entirely acceptable
1595,excerpt,selected passage (written or musical) taken from a longer work; V.
1596,exchequer,treasury; Ex. Chancellor of the exchequer
1597,excise,cut away; cut out; N: government tax on good produced and used inside a country; N. excision
1598,exclaim,cry out suddenly; N. exclamation; ADJ. exclamatory
1599,excoriate,scold with biting harshness; censure strongly; strip the skin off
1600,exculpate,clear from blame or guilt
1601,execrable,very bad; detestable
1602,execrate,curse; express abhorrence for; detest
1603,execute,put into effect; carry out; kill as a lawful punishment; N. execution
1604,executioner,person administering capital punishment
1605,executive,person having administrative authority; one branch of government executing laws; ADJ: relating to executing
1606,executor,person designated to execute the terms of a will;
